UBIOTA,POS,UBIOTA AUDIO,TRANSLATION,ILLUSTRATION,UDJE 1,UDJE 1 AUDIO,EXAMPLE 1,UDJE 2,UDJE 2 AUDIO,EXAMPLE 2,RATE ENTRY,Total_Rating_Sum,Rating_Count,_RATE_SUM,_RATE_COUNT
ádjọkrótẹgba,n. ,,pants,,,,,,,,0,,,0,0
adjudju,n. ,,"hand fan, fan",,,,,,,,0,,,0,0
adjugẹ,n. ,,wheel,,,,,,,,0,,,0,0
áfe,n. ,,menstruation,,,,,,,,0,,,0,0
áfiédjọ,n. ,,masquerade playground,,,,,,,,0,,,0,0
áfiéha,n. ,,"stadium, playground",,,,,,,,0,,,0,0
afiotọ,n. ,,rabbit (giant rat),https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/Afioto%20-%20giant%20rat.png,,,,,,,0,,,0,0
afiotọ,n. ,,rabbit,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/Afioto%20re%20oyibo%20-rabbit.png,,,,,,,0,,,0,0
afọrhe,n. ,,brain,,,,,,,,0,,,0,0
agada,n. ,,"crotch, area between the legs",,,,,,,,0,,,0,0
agbá (ogba),n. ,,oil bean seed,,,,,,,,0,,,0,0
agbada,n. ,,bridge,,,,,,,,0,,,0,0
agbadarizobo,n. ,,altar,,,,,,,,0,,,0,0
agbagba,n. ,,cross,,,,,,,,0,,,0,0
agbakara (ahwarihwa),n. ,,raffia and oil-palm beetle,,,,,,,,0,,,0,0
agbara (aga),n. ,,chair,,,,,,,,0,,,0,0
agbogu,n. ,,dagger,,,,,,,,0,,,0,0
agbọn (iride),n. ,,placenta,,,,,,,,0,,,0,0
agboro,n. ,,echo,,,,,,,,0,,,0,0
agbótọ,n. ,,chin,,,,,,,,0,,,0,0
agbrara,n. ,,thunder,,,,,,,,0,,,0,0
agbuna,n. ,,matches,,,,,,,,0,,,0,0
aghán,n. ,,broom,,,,,,,,0,,,0,0
aghighọn,n. ,,chain of coral beads worn round the neck by chiefs,,,,,,,,0,,,0,0
aghọghọ,n. ,,joy/happiness,,,,,,,,0,,,0,0
ághwá,n. ,,bush,,,,,,,,0,,,0,0
aghwaghwa,n. ,,bush dog,,,,,,,,0,,,0,0
